stt,noidung,dich,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4
28,欠陥,(Khuyết hãm) けっかんkhuyết điểm,あの人の欠陥は、自分に都合の悪いことがあるとうそをつくことだ。,眼鏡のレンズを硬い布でふいたら、欠陥がついてしまった。,発表された車のブレーキに欠陥が見つかり、販売が中止された。,このサービスを利用することの欠陥は費用が非常にかかることだ。,,,x,,Chỗ không tốt của anh ta là có vấn đề gì bất lợi cho bản thân là anh ta sẽ nói dối.,Khi lấy khăn cứng lau mắt kính thì đã làm sước nó.,Phát hiện ra lỗi ở phanh của chiếc xe mới được bán ra nên đã tạm dừng kinh doanh,Vấn đề của việc sử dụng dịch vụ này là rất tốn phí
29,引退,(Dẫn thoái) いんたい→về hưu,山本さんは去年入学したばかりの大学を引退し、別の大学を受験するらしい。,これまで多くの名作を残した映画監督が、今回限り引退することを発表した。, この書店はもうすぐ商店街から引退し、駅前のビルの中で店を始めるらしい。 ,中村選手は前大会でのけがが回復せず、次の試合への出場を引退した。,,x,,,Nghe nói anh Yamamoto đã bỏ trường đại học mà anh ấy thi năm ngoái để thi vào trường khác.,Vị đạo diễn đã để lại nhiều tác phẩm nổi tiếng đã phát biểu rằng chính vào lần này anh ấy sẽ giải nghệ.,Nghe nói hiệu sách này sắp sửa rời tiệm khỏi khu phố buôn bán và mở tiệm ở tòa nhà trước ga.,Tuyển thủ Nakamura không thể hồi phục chấn thương vào đại hội trước và sẽ không tham gia được vào đại hội tới.
30,ぎっしり,"Đầy ắp, lèn chặt",大きな箱に本がぎっしり詰まっている。,ジュースがコップにぎっしり入っている。,少し太ったせいで、ズボンがぎっしりしている。, 朝の電車はいつも人でぎっしりしている。,x,,,,Sách nhét đầy một hộp to,Nước hoa quả đổ đầy cốc,Vì tôi béo lên 1 chút nên quần hơi bị chật,Tàu điện buổi sáng chật kín người
31,明日、海外に留学中の友人が1年（ ）帰国する。会って話を聞くのが楽しみだ。,"Ngày mai, người bạn đi du học nước ngoài của tôi sẽ về nước sau 1 năm. Tôi đang háo hức để gặp nó nói chuyện.", おきに,たびに,ぶりに,うちに,,,x,,Cứ cách mỗi ..., ,Cách 1 khoảng thời gian nào đó. 10年ぶりに... : 10 năm rồi chưa làm gì đó.,Trong lúc
32,12年間付き合っている彼女に、今年（ ）結婚を申し込もうと思っている。,Tôi định chính vào năm nay sẽ đăng ký kết hôn với cô gái mà tôi đã yêu suốt 12 năm qua,こそ ,さえ,すら,のみ,x,,,,Chính,Chỉ cần,Ngay cả,Chỉ. Giống với だけ
33,腰の曲がった老人に似ている（ ）、エビは「海老」とも書かれると聞いた。,Vì lưng cong giống như người già nên con tôm được viết với chữ hán là [hải lão],ものを,とともに,うえで,ところから,,,,x,,Cùng với,Sau khi,"Từ...nên, vì... Nên"
34,上司「ゼミナー会場の準備はどう？順調？」  -  部下「ええ、いすも並べ終わりましたし、（ ）資料を受付に運ぶだけです。」,"Cấp trên : chuẩn bị cho hội thảo thế nào rồi? Ổn chứ?. -- Cấp dưới: dạ, bàn ghế em cũng xếp xong rồi, còn lại chỉ cần mang tài liệu tới quầy tiếp tân nữa là xong.",特に ,あとは,少しも,あまりに,,x,,,Đặc biệt là,"Sau đó, sau",Một chút cũng,"Không hay..., không nhiều"
35,"このテニスコートの利用料金は2時間1,000円で、1時間しか使わない（ ）、1,000円払わなければならない。","Phí chơi ở sân tenis này 2 tiếng là 1000 yen, trong trường hợp chỉ chơi 1 tiếng thôi cũng phải trả 1000yen.", 場合でも, 点でも ,場合には,点には,x,,,,Cả trường hợp,Ngay cả điểm,Trong trường hợp,"Ở điểm, ở mặt ..."
36,毎日日記を書きつづけることは、（ ）、けっこう難しいことだ。,Việc viết nhật ký hằng ngày tưởng đơn giản nhưng khá là khó,簡単らしいし, 簡単なようであれば , 簡単らしくて,簡単なようでいて,,,,x,Vừa dễ mà vừa ...,Nếu mà có vẻ dễ,Có vẻ dễ,Có vẽ dễ nên...
37,梅雨に入ってもほとんど雨が降らないので、庭の花が（ ）心配だ。,"Vào mùa mưa rồi mà trời vẫn không mưa, tôi lo hoa trong vườn sẽ bị héo mất",枯れていないことで, 枯れてしまわないか ,枯れていないからと ,枯れてしまわないのを,,x,,,,枯れてしまう→枯れてしまわない：Không bị héo mất à. (Lo lắng không biết cây của mình có bị héo mất không ),,
38,今日は、本当は映画を（ ）が、雪が降ってきたので、やめた。,"Hôm nay tôi định sẽ đi xem phim, nhưng vì tuyết rơi nên tôi đã không đi nữa.",見に行ってばかりだ, 見に行ったばかりだ , 見に行くつもりだった ,見に行ったつもりだった,,,x,,,Vừa mới đi xem,Dự định đi xem,Đã dự định đi xe
39,今回の戦略が有効であったかどうかは、まだ結果が出ていない現時点では（ ）。,Việc chiến lược lần này có hiệu quả hay không tại thời điểm mà chưa có kết quả như hiện tại thì không thể phán đoán được.,判断すべきだ,判断しかねる,判断したにすぎない,判断ざるを得ない,,x,,,Nên phán đoán,Không thể phán đoán,Chỉ là phấn đoán,Bắt buộc phải phán đoán
40,この馬の絵は本物そっくりに描かれていて、今にも（ ）。,"Con ngựa này được vẽ y như thật vật, giống như là đang chạy vậy.",走っていたい,走っているようだ,走り出しそうだ,走り出したがる,,,x,,Muốn chạy,Như là đang chạy,Có vẻ dễ vẻ như sẽ chạy,Muốn chạy
41,私たちが旅館に着くと、従業員たちが笑顔で「ようこそ（ ）」とあいさつしてくれた。,"Khi tôi tới lữ quán, những nhân viên ở đây đã niềm nở chào rằng ""Kính chào quý khách, chào mừng quý khách đã tới""",お越しくださいました,お伺いました,お呼びいただきました,お迎えしました,x,,,,Tới,Hỏi,Gọi,Đón
42,"木村「田中くん、アルバイトを探してるんだって？」
田中「うん、そうなんだ。」
木村「私が働いている店がアルバイトを募集しているから応募してみない？もちろん田中さんが（ ）。」","Kimura: ""cậu tanaka đang tìm việc làm thêm à"". - Tanaka:""đúng rồi"". - Kimura:""chỗ tôi đang làm có tuyển baito đó, thử ứng tuyển không ? Tất nhiên là cậu thích hay không nữa.""",いいなんて,よかったっけ, いいからだよね ,よければだけど,,,,x,,,,"Nếu mà được,nếu mà tốt"
43,昨日、初めてパンを作ってみた。料理雑誌の ___ ___ ★ ___ 、うまく膨らまなかった。,Hôm qua là lần đầu tiên tôi làm bánh. Tôi đã thử làm đúng theo được ghi trong công thức nấu ăn nhưng bánh vẫn không nở.,のに,レシピに書いてある,とおりに,作った,,,,x,,レシピ : công thức,Đúng như,
22,「10倍がゆ」とは、 ___ ___ ★ ___ おかゆのことです。,「10倍がゆ」có nghĩa là cháo được nấu từ 1 phần gạo và 10 phần nước,作った,水,10倍の,米1に対して,,x,,,,,10倍 : gấp 10 lần,
45,私が就職した商社は、大手の ___ ___ ★ ___ 新人でも大きな仕事を任せてもらえるので、やりがいがある。,Công ty thương mại mà tôi xin vào làm so với những công ty lớn thì không bằng nhưng chỉ cần có ý muốn làm thì ngay cả nhân viên mới cũng được giao cho những công việc lớn,決して,商社に比べると,やる気があれば,規模は大きくないが,,,,x,chắc chắn,,,規模 : quy mô
46,彼女は1970年代に活躍したジャズピアニストで、この人 ___ ___ ★ ___ 大きな存在だった。,"Cô ấy là một nhạc sĩ piano nhạc jazz hoạt động vào những năm 1970, cô ấy có vai trò quan trọng tới mức có thể nói không có cô ấy thì nhạc jazz ở Nhật sẽ không thể phát triển được.",語れない,日本のジャズは,抜きには,というほど,x,,,,語る：Kể,"抜き: bỏ qua, không kể đến",,
47,贈り物をするときは、自分の勝手な ___ ___ ★ ___ 、相手の趣味や都合をよく考えて決めましょう。,"Khi tặng quà, nếu chỉ tự ý chọn theo ý của mình thì chưa nói đến việc làm người nhận vui mà có thể gây phiền phức cho họ, vì vậy hãy xem xét kỹ tình hình và sở thích của đối phương rồi quyết định.",思い込みだけで,喜ばれるどころか,迷惑をかけることもあるので,品物を選ぶと,,x,,,"思い込み：Suy nghĩ của bản thân, áp đặt",,迷惑：phiền phức,"品物：vật phẩm, hàng hóa"
