stt,noidung,dich,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4
11,この建物は（ ）町長の時代に建てられたものだ。,Tòa nhà này được xây dựng từ đời thị trưởng cũ,先,古,前,昔,,,,x,TIÊN,CỔ,TIỀN,"昔 (TÍCH) むかし : cũ, cổ, ngày xửa ngày xưa..."
12,池田さんには何度も助けてもらっているので、今回は頼み（ ） 。,"Ông Ikeda đã giúp (tôi) rất nhiều lần rồi, nên lần này khó lòng mà nhờ được",づらい,わるい,きつい,よわい,x,,,,"辛い (TÂN) づらい : hà khắc, khắc nghiệt, ghét cay ghét đắng, tóm lại là cayyyy :"">",,,
13,この歌の歌詞は政治（ ）が強いように感じられる。,Bài hát của ca sĩ này khiến (tôi) cảm nhận được màu sắc chính trị (tính chính trị) mạnh mẽ,香,風,味,色,,,,x,HƯƠNG,PHONG,VỊ,色 (SẮC) いろ・しょく : màu (sắc) (ngoài ý nghĩa là màu sắc ra thì nó còn mang ý nghĩa là sắc thái)
14,今日は残業で疲れていて夕食を作るのが（ ）だから、外で食べ て帰ろうと思う。,"Hôm nay (tôi) quá mệt mỏi vì tăng ca rồi mà phải nấu bữa tối nữa thì phiền lắm, ra ngoài ăn rồi về vậy",余計,面倒,過剰,無力,,x,,,"余計 (DƯ KẾ) よけい : dư thừa, thừa thãi, không cần thiết (=要らない）(dư mang tính chất tiêu cực)","面倒 (DIỆN ĐẢO) めんどう : khó khăn, trở ngại, phiền phức","過剰 ̣(QUÁ THẶNG) かじょう : sự thặng dư, dư thừa (mang tính chất tích cực) dồi dào","無力 (VÔ LỰC) :(( N2 mà không đọc đuộc từ này thì chệu - mừ ry-ô cự nhé! : sự không (vô) có năng lực (lực), vô năng, yếu, không có thực lực, không đủ khả năng"
15,この犬のロボットは動きが自然で、まるで（ ）の犬のようだ。,"Chú chó robot này cử động tự nhiên, giống hệt một chú chó thật vậy",本物,現状,事実,正式,x,,,,"本物 (BẢN VẬT) ほんもの : hàng thật, đồ thật","現状 (HIỆN TRẠNG) げんじょう : hiện trạng, tình trạng, tình hình","事実 (SỰ THỰC) じじつ : sự thực/thật, thực tế","正式 (CHÍNH THỨC) せいしき : chính thức, sự chính thức"
16,山下先輩は私の（ ）で、いつか山下先輩のようになりたいと思 っている。,"Tiền bối Yamashita là thần tượng của tôi, tôi muốn một ngày nào đó được giống như tiền bối Yamashita",あこがれ,望み,願い,夢,x,,,,"憧れ (SUNG) あこがれ : thần tượng, niềm mơ ước","望み (VỌNG) のぞみ : mong ước, ước muốn","願い (NGUYỆN) ねがい : nguyện vọng, mong muốn","夢 (MỘNG) ゆめ : giấc mơ, giấc mộng"
17,今日会社で京都支社から東京本社への（ ）を命じられ、今月末 に東京へ引っ越すことになった。,"Hôm nay, tại công ty, tôi đã được bổ nhiệm chuyển việc từ công ty chi nhánh Kyoto lên tổng công ty tại Tokyo, cuối tháng này tôi sẽ chuyển nhà lên Tokyo",移行,転職,転勤,移住,,,x,,"移行 (DI HÀNH) いこう : chuyển đổi, chuyển giao","転職 (CHUYỂN CHỨC) てんしょく : chuyển việc, nhảy việc, thay đổi nghề nghiệp (bỏ việc A làm việc B)","転勤 (CHUYỂN CẦN) てんきん : chuyển công tác (chuyển việc nhưng trong cùng 1 công ty, không phải nghỉ việc)","移住 (DI TRỤ) いじゅう : di trú, di cư, thay đổi về địa điểm sống (từ quốc gia này sang quốc gia khác, từ nơi A sang nơi B - AB khoảng cách xa đáng kể)"
18,この辺りの農家は、無農薬で野菜を（ ）しています。,Nông dân vùng này trồng rau mà không sử dụng thuốc trừ sâu,制 作,栽培,養成,製造,,x,,,"制作 (CHẾ TÁC) せいさく : chế tác, chế tạo những tác phẩm mang tính nghệ thuật cao","栽培 (TÀI BỒI) さいばい : trồng trọt, canh tác","養成 (DƯỠNG THÀNH) ようせい : chăm sóc, nuôi dưỡng, bồi dưỡng",製造 (CHẾ TẠO) せいぞう : chế tạo
19,四彼は私の意見に対して何も言わなかったが、（ ）ことで同意 を示してくれた。,"Bốn người bọn họ không nói gì về ý kiến của tôi, nhưng học đã thể hiện sự đồng ý bằng cách gật đầu",ふりむく,にらむ,かがむ,うなずく,,,,x,"振り向く (CHẤN HƯỚNG) ふりむく : đổi hướng, quay xe","睨む (NGHỄ) にらむ : liếc, lườm","屈む (KHUẤT) かがむ : khom lưng, cong lưng (có thể dùng để nói về trạng thái lưng bị gù)",頷く (HẠM) うなずく : gật đầu
20,机の上がいろいろな物で（ ）しているから、早くきれいに片付 けよう。,"trên bàn có rất nhiều đồ vật bị vứt một cách bừa bãi, phải nhanh chóng dọn dẹp sạch sẽ thôi",きちんと,ぼんやり,ごちゃごちゃ,きょろきょろ,,,x,,chỉn chu,"mờ nhạt, không rõ ràng","xáo trộn, lung tung beng, tùm lum tà la","bồn chồn, ngơ ngác"
21,この仕事はとても(ハード)だ。,Công việc này rất là khó,楽しい,簡単だ,大変だ,新しい,,,x,,LẠC,ĐƠN - GIẢN,ĐẠI - BIẾN,TÂN
22,その話を聞いて(動揺した)。,Tôi đã bị dao động (dao động tâm lý) khi nghe câu chuyện này,うれしくなった,不安にな った,不満に思った,面白いと思った,,x,,,,BẤT - AN,BẤT - MÃN,DIỆN - BẠCH - TƯ
23,早く(引き返した)ほうカヾいい。,Nên nhanh chóng quay lại,払った,直した,戻った,答えた,,,x,,"払う (PHẤT) はらう : trả lại, phủi đi, xua đuổi",直す (TRỰC) なおす : sửa lại,"戻る (LỆ) もどる : trở lại, quay lại",答える (ĐÁP) こたえる : trả lời
24,機能を(一層)強化したい。,(Tôi) muốn nâng cấp (cường hóa) công năng thêm 1 nấc (1 bậc) nữa,すぐに,少し,できるだけ,もっと,,,,x,直ぐに (TRỰC)すぐに : ngay lập tức,"少し (THIỂU)すこし : một chút, một ít",できるだけ (XUẤT LAI) 出来るだけ : Cố gắng hết sức có thể trong khả năng của mình,もっと : hơn nữa
25,急にひどい頭痛がしてきたので、(かかりつけの)病院に行った。,"Vì (tôi) đột nhiên đau đầu một cách tồi tệ, nên đã đến bệnh viện quen (thường đến)",いつも行く,休日も開いている,近くの,専門の,x,,,,HÀNH,HƯU - NHẬT - KHAI,CẬN,CHUYÊN - MÔN
26,特殊,"特殊 (ĐẶC THÙ) とくしゅ: đặc thù, đặc biệt (khác với những thứ phổ thông thông thường)",その日は夏なのに特殊な寒さだった。,自分で育て た野菜を食べるのは特殊な喜びがある。,母は誕生日など、特殊な日にはとても豪華な料理を作ってくれる。,バスを運 転するためには特殊な免許が必要だ。,,,,x,,,,「必要 (TẤT YẾU) ひつよう」cần thiết phải có 「免許 (MIỄN HỨA) めんきょ」 giấy phép 「特殊 (ĐẶC THÙ) とくしゅ」đặc biệt để 「運転 (VẬN CHUYỂN) うんてん」lái xe bus
27,素材,"素材 (TỐ TÀI) そざい : vật liệu sản xuất , nguyên liệu",プラスチックは石油を素材に作られている。,このお店は素材の味を生かした料理で有名です。,いろいろな情報を集めて、判断の素材にする。,故障の素材になったもの を探さなくてはいけない。,,x,,,,Nhà hàng này nổi tiếng với những món ăn biết tận dụng hương vị tươi ngon của nguyên liệu,,
28,しみる,"Bay vào, thấm vào",飛んできたボールが頭にしみて、けがをした。,煙が目にしみて、涙が止まらなくなった。,食べすぎで、ベルトがおなかにしみて苦しい。,料理をしているときに包丁 の先が指にしみて、少し血が出た。,,x,,,,Khói bay vào mắt nên nước mắt cứ trào ra không ngừng,,
29,充満,"充満 (SUNG MÃN) じゅうまん : sung mãn, ngập tràn, nồng nặc, nặng (mùi)",この図書館は、あらゆる分野の本が充満していて、と ても便利だ。,このコンサートは人気があって、常に観客が充満している。,部屋に食べ物の強いにおいが充満 していたので、窓を開けた。,夢が充満している子どもたちが大好きで、小学校の教師になった。,,,x,,,,Trong phòng nồng nặc mùi thức ăn nên (tôi) đã mở cửa sổ ra,
30,めくる,"Bóc (tờ lịch), lật (trang sách)",この小説は面白くて、次のページをめくるのが楽し みだった。,汗をかいたので、タオルを水でぬらし、きつくめくって体をふいた。,封筒に書類を入れ、開かな いように丁寧にのりでめくっておいた。,そのドアは押すのではなくて手前にめくらないと開きませんよ,x,,,,Cuốn tiểu thuyết này hay quá nên (tôi) đã háo hức lật trang tiếp theo,,,
31,X市とY市を結ぶ橋が、約10年の工事（ ? ）、昨年ようやく完成 した。,"Cây cầu kết nối thành phố X và thành phố Y ước tính thi công trong 10 năm, cuối cùng cũng đã hoàn thành vào năm ngoái",の際,の末,のたび,のもと,,x,,,,,,
32,「田中さんがこの会社をやめるって話、まだ秘密みたいだから、 悪いけど、聞かなかった（ ? ）にしてくれない?」,"Chuyện anh Tanaka nghỉ việc ở công ty này, có vẻ như vẫn còn là một bí mật. Hơi tệ một chút, nhưng (anh) có thể coi (làm) như chưa nghe thấy gi giúp tôi được không?",こと,だけ,もの,の,x,,,,,,,
33,最近、よくお腹が痛くなるので、病院で診てもらったら、（ ? ）ストレスが原因だろうと言われた。,"Gần đây tôi hay bị đau dạ dày, đi khám thì bác sĩ bảo có lẽ nguyên nhân là do căng thẳng (stress)",どうか,まさか,おそらく,いったい,,,x,,,,,
34,私は、急な雨（ ? ）、いつも折り畳み傘を持ち歩いている。,Tôi luôn đề phòng những cơn mưa bất chợt (cơn mưa ngang qua) nên lúc nào đi bộ cũng cầm theo cái ô gấp (ô thu gọn),に反して,に加えて,に備えて,に応じて,,,x,,,,,
35,（自転車屋で）客「すみません、自転車のブレーキ、壊れちゃっ たんですけど、すぐ直りますか。」 店員「そうですね、これだったら30分（ ? ）直りますよ。」,"(Tại cửa hàng xe đạp) Khách hàng: ""Xin lỗi đã làm phiền, nhưng phanh xe đạp của tôi hỏng mất toi rồi, có thể sửa ngay (cho tôi) được không?"" Nhân viên: ""Vậy à...nếu là thế (nếu đúng là hỏng phanh) thì có khi phải sửa đến 30 phút đấy ạ""",も あるのに,もあれば,はないのに,はなければ,,x,,,,,,
36,（講演会で）司会「ご来場の皆様、本日は第3回さくら市教育講 演会に（ ? ）、ありがとうございます。」,"(Tại buổi diễn thuyết) Người dẫn chương trình :""Xin cảm ơn quý khách đã tới buổi diễn thuyết về giáo dục lần thứ 3 của thành phố Sakura""",まいり,ご覧になり,お目にかかり,おいでくださり,,,,x,,,,
37,夫は動物が好きじゃないから、もし私がペットを飼いたいと言っ ても、（ ? ）。,Vì chồng tôi không thích động vật nên nếu mà tôi nói là muốn nuôi pet (thú cưng) thì chắc chắn là anh ấy sẽ phản đối.,反対しかねる,反対しようがない,反対するならいい,反対するに決まっている,,,,x,,,,
38,今はスポーツも演劇もテレビで見られる時代だが、直接見ること に（ ? ）得られない感動というものがある。,"Bây giờ là thời đại dù là xem thể thao hay phim kịch thì đều có thể xem bằng tivi, thế nhưng có một loại cảm xúc phấn khích mà chúng ta chỉ có thể có được khi xem trực tiếp",とってしか,よってしか,ついてのみ,対してのみ,,x,,,,,,
39,子供のおもちゃは、種類ごとに透明なケースにしまって中身がわ かる（ ? ）、子供がおもちゃを探しやすくなるので、おすすめです。,Đồ chơi của trẻ con thì (tôi khuyến khích) nên chọn loại để trong case (hộp) trong suốt để trẻ có thể dễ dàng tìm thấy đồ chơi.,ようになるには,ようにして おくと,ようになっても,ようにしておいて,,,x,,,,,
40,昨日購入した中古の大型バイクは、かなり古いものなのだが、と てもきれいな状態だった。前の持ち主によほど大切に（ ? ）。,Cái xe đạp loại lớn (hạng nặng) mà hôm qua tôi lấy về (nhập về) mặc dù là đồ tương đối cũ nhưng tình trạng xe lại rất đẹp. Chắc hẳn là (cái xe này) đã được chủ cũ chăm sóc rất tốt,されてもおかしくない,し続けても おかしくない,されていたに違いない,し続けていたに違いない,,,,x,,,,
41,（電話で）上田「課長、すみません、今日お休みをいただけない でしょうか。娘と夫が風邪で熱を出してしまったんです。」 課長「それは大変だね。わかりました。看病で 疲れて、上田さんが（ ? ）。」,"(Điện thoại) Ueda :""Xin lỗi đã làm phiền trưởng phòng, nhưng hôm nay tôi có thể nghỉ được không ạ? Chồng và con gái tôi bị cảm nên sốt hết cả rồi"" Trưởng phòng :""Vất vả cho anh quá, tôi hiểu rồi. Anh Ueda cố gắng không đổ bệnh vì chăm sóc bệnh nhân nhé""",倒れなくなるよ,倒れてしまいたくないのに,倒れないことになるの,倒れてし まわないようにね,,,,x,,,,
42,山田「林さんの手作りクッキー、本当においしかったです。どう もありがとうございました。」林「どういたしまして。山田さんにおいしいって（ ? ）です。」,"YAMADa : [ Bánh chị Kobayashi làm ngon lắm, cảm ơn bạn.] - Kobayahsi : [Không có gì đâu, được anh Yamada nói ngon là tôi thấy vui rồi. ]",言っ てもらえてよかった,言ってもらってもよかった,言ってあげられてよかった,言ってあげてもよかった,x,,,,,,,
43,他社からの質問や問い合わせには、一度社内で ___ ___ ★ ___ できないことになっています。,"他社からの質問や問い合わせには、一度社内で検討してからでないと回答できないことになっています。: Với những câu hỏi từ các công ty khác, chúng tôi phải bàn bạc với nhau trong nội bộ công ty rồi mới có thể trả lời được.",検討,回答,でないと,してから,,,x,,,,,
44,昨日の夜は、11時までには ___ ___ ★ ___ 、結局寝たのは 1時だった。,"昨日の夜は、11時までには寝ようとおもいつつ、ついテレビを見続けてしまい、結局寝たのは 1時だった。: Đêm qua, nghĩ trong đầu là tới 11h sẽ đi ngủ vậy mà lỡ ngồi xem ti vi mãi, kết cục là tới 1h mới ngủ.",つい,寝ようと,思いつつ,テレビを見続けてしまい,x,,,,Lỡ ... Làm cái gì đó trong vô thức,,,
45,私は、新しいことにチャレンジするときでも悩まない。 ___ ___ ★ ___ と思っているからだ。,"私は、新しいことにチャレンジするときでも悩まない。まずやってみてうまくいかなかったらそのときにどうしたらいいかもう一度考えればいいと思っているからだ。: Tôi không bao giờ lo lắng ngay cả khi thử thách với điều gì mới. Bởi vì tôi nghĩ rằng là trước tiên là làm thử, nếu mà không làm tốt thì sẽ suy nghĩ lại xem lúc đó nên làm gì thì tốt.",まずやってみて,もう一度考えればいい,うまくいかなかったら,そのときに どうしたらいいか,,,,x,,,,
46,家の近くの本屋では ___ ___ ★ ___ 少し遠いけど行ってみ ようと思う。,"家の近くの本屋ではもう売り切れていて買えなかった漫画の最新号が隣町のABC書店に行けばまだ買えるらしいので少し遠いけど行ってみ ようと思う。: Vì ở hiệu sách gần nhà đã bán hết hàng, mà lại nghe nói tới cửa hàng sách ABC vẫn đang còn bán nên dù có hơi xa một chút nhưng tôi vẫn quyết định sẽ đi thử xem sao.",買えなかった漫画の最新号が,まだ買えるらしいので,もう売り切れていて,隣町のABC書店に行けば,x,,,,,,,
47,話題のカレー屋さんを初訪問。野菜の ___ ___ ★ ___ 「夏 限定ベジタブルカレー」。評判どおりのおいしさだった。,"話題のカレー屋さんを初訪問。野菜のカレーがいくつかある中で私が選んだのは夏の野菜がたっぷり入った「夏 限定ベジタブルカレー」。評判どおりのおいしさだった。: Lần đầu tiên tới quán cà rê đang nổi tiếng. Trong số nhiều loại cà rê rau, món mà tôi chọn là món 「夏限定ベジタブルカレー」được cho thật là nhiều ra của mùa hè. Vị ngon y hệt như mọi người đánh giá",中で,私が選んだのは,夏の野菜がたっぷり入っ た,カレーがいくつかある,,x,,,,,,
