stt,noidung,dịch,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4
26,高橋さんなら(とっくに)帰りましたよ。,Anh Takahashi đã về lâu rồi. </br> 疾っくに ( Tật ) とっくに: thời gian dài trước đây,ずっと前に,一人で,あわてて,何も持たずに,x,,,,,,慌てて ( Hoảng ): Vội vàng,
27,あの自転車は弟に(ゆずりました)。,Chiếc xe đạp kia đã nhượng lại cho em trai tôi rồi. </br> 譲る ( Nhượng )ゆずる: bàn giao (quyền sở hữu tài sản); nhường; nhượng bộ; nhường nhịn,貸しました,もらいました,あげました,借りました,,,x,,( Thải )かし: sự cho vay; sự cho mượn,,,( Tá ) かり: khoản nợ; nợ; vay nợ; vay mượn; mượn; vay
28,頂上,( Đính Thượng ) ちょうじょう: đỉnh,この星は、夏の夜 12 時頃、空の頂上のあたりに見える。,山に登り始めて5時間ぐらいして、ようやく頂上に着いた。,この家の 2 階の部屋は、頂上にも窓がついているので、とても明るい。,本棚がいっぱいになってしまい、本棚の頂上にも本を置いている。,,x,,,,"Sau khoảng 5 tiếng leo núi, cuối cùng chúng tôi cũng lên đến đỉnh.",,
29,節約,( Tiếc Ước ) せつやく: sự tiết kiệm; tiết kiệm .,駅に向かう道路の渋滞を節約するため、道の幅を広げる工事が行われている。,美術館の中は、かびが発生して絵が傷まないように、湿度や温度を節約しています。,試験が近くなってきたので、アルバイトの仕事を少し節約することにした。,私の会社では、紙や郵送費を節約するため、資料はすべてメールで送っている。,,,,x,,,,Công ty của tôi gửi email tất cả các tài liệu để tiết kiệm chi phí giấy và bưu phí.
30,分解,( Phân Giải ) ぶんかい: sự phân giải; sự phân tích; sự tháo rời,機械の調子が悪かったので、分解して部品の点検をした。,すいかを買ってきたが、大きくて冷蔵庫に入らなかったので、四つに分解した。,細かいお金がなかったので、近くの店で千円札を分解してもらった。,急ぎの仕事が入ったので、三人で分解して進めることにした。,x,,,,"Máy ở trong tình trạng tồi tệ, vì vậy tôi đã tháo nó ra và kiểm tra các bộ phận.",,,
31,略す,( Lược ) りゃくす: lược bỏ; làm ngắn; viết tắt,時間がないので、詳しい説明は略して、要点だけお話します。,合計で一万以上ご購入の場合、送料は略します。,健康のために、砂糖を略したジャムを使っています。,このオフィスは壁を略して開放感のあるデザインにしました。,x,,,,Do không có nhiều thời gian nên tôi sẽ lược bỏ phần giải thích chi tiết và chỉ đưa ra những điểm chính.,,,
32,覆う,( Phúc ) おおう: gói; bọc; che đậy; che giấu; bao phủ,私のうちは、周りを高層マンションに覆われて、日当たりが悪い。,優勝した森選手は大勢の記者に覆われてインタビュを受けていた。,公園に続く並木道はすっかり落ち葉で覆わてていた,部屋が暑いのか、中島さんの顔は汗で覆われていた。,,,x,,,,Con đường rợp bóng cây dẫn vào công viên đã bị lá rụng bao phủ hoàn toàn.,
33,私の職場では、節電のため、廊下の蛍光灯を一つ（ ）外している。,"私の職場では、節電のため、廊下の蛍光灯を一つおきに外している 。Tại nơi làm việc của tôi, chúng tôi tháo mọi bóng đèn huỳnh quang khác ở hành lang để tiết kiệm điện.",に対し,ぶりに,につき,おきに,,,,x,に対して／に対する：Đối với…/ Ngược lại.,"『ぶりに』Mẫu câu này đi sau danh từ chỉ thời gian, diễn đạt ý “đã làm việc gì đó mà lâu lắm rồi không làm”","～ につき：Vì...Nên, Do...／Cứ mỗi/ ứng với mỗi...Diễn tả nguyên nhân, lý do, dùng trong hoàn cảnh trang trọng, hoặc bản tin, thông báo.","『おきに』Mẫu câu này đi sau những danh từ chỉ thời gian, cự li để diễn tả ý “lặp lại theo từng khoảng, cứ cách một khoảng thời gian hoặc cự li nào đó thì…”. Cứ .."
34,時間のある学生時代に、もっと本を読んだり、海外旅行に行ったりしておけばよかっ た。あのころに戻れる（ ）戻りたい。,"Tôi ước mình đã đọc nhiều sách hơn và đi du lịch nước ngoài khi còn là sinh viên và có nhiều thời gian hơn.Nếu được quay lại nơi đó, tôi muốn quay lại.",かわりに,とすると,ものなら,にしたって,,,x,,,,〜 ものなら：Nếu như/ Nếu có thể … thì …Mẫu câu diễn tả sự giả định về một việc gì đó khó hoặc không thể xảy ra.,
35,転校する友人からの手紙に「たとえ遠く（ ）、私たちの友情は変わらない」と書い てあった。,"Trong bức thư của một người bạn chuyển đến trường khác, anh ấy viết: ""Dù chúng ta có xa nhau nhưng tình bạn của chúng ta sẽ không bao giờ thay đổi.""",離れても,離れなくて,離れるけれど,離れなければ,x,,,,,,,
36,祖母は、留学中の私のことが（ ）らしい。,Bà tôi có vẻ lo lắng cho tôi khi tôi đi du học.,心配どおり,心配でならない,心配すべき,心配してもしかたない,,x,,,,"てならない được sử dụng để diễn tả “trạng thái có một tình cảm, cảm xúc, cảm giác nào đó tự nhiên nảy sinh mà mình không kiểm soát được ...",,
37,発達する低気圧の影響で、明日の夕方から夜にかけて、激しい雨が（ ）。,Do ảnh hưởng của áp thấp đang phát triển nên chiều tối và đêm nay có nguy cơ có mưa to đến rất to.,降りがちだ,降りつつある,降ってばかりだ,降るおそれがある,,,,x,,,,"～ おそれがある： E là, e rằng, sợ rằng...Dùng để diễn tả ý “có khả năng xảy ra một sự việc nào đó không mong đợi”."
38,（おもちゃ屋で）<br/> 店員「お客様、何か（ ）、ご案内いたしますが。」,"(Tại một cửa hàng đồ chơi) Nhân viên bán hàng: ""Thưa quý khách, nếu quý khách đang tìm kiếm thứ gì đó, tôi có thể hướng dẫn cho quý khách ạ.""",お探しでしたら,探してくださいましたら,お探ししましたら,探させていただきましたら,x,,,,,,,
39,A「ねえねえ、夏休みのキャンプ、楽しみだね」<br/> B「うん。早く夏休みに（ ）」。,"A: Này, này, tôi đang mong đến trại hè. <br/> B ""Yeah. mà kì nghỉ hè không đến nhanh đi ha...""",なるかな,ならないかな,なるんだな,ならないんだね,,x,,,,,,
40,課長「田中さん、さっき頼んだ書類の整理ですけど、今週は出張もあって忙しいでし ょうし、特に急ぎじゃないので、来週（ ）お願いします。」<br/>田中「はい、わかりました。」,"Người quản lý: ""Tanaka-san, tôi sẽ sắp xếp tài liệu mà tôi đã yêu cầu bạn làm trước đó, nhưng chắc là tuần này bạn bận đi công tác, và vì nó không đặc biệt khẩn cấp, nên nhờ bạn vào tuần sau cũng được nhé .""<br/>Tanaka: Vâng, tôi hiểu.",になら,にでも,でなら,ででも,,x,,,,,,
41,この辺りは、春はお花見、夏は川遊び、秋は紅葉、冬はスキー（ ）、 1年中自然を 楽しむことができます。,"Ở khu vực này, bạn có thể tận hưởng thiên nhiên quanh năm, chẳng hạn như ngắm hoa anh đào vào mùa xuân, bơi lội trên sông vào mùa hè, ngắm lá vàng vào mùa thu và trượt tuyết vào mùa đông.",のことかと,かのように,ということと,というように,,,,x,,,,
42,きれいな鳥がいたので写真を撮りたかったが、かばんからカメラを（ ）飛んでいってしまった。,"Tôi nhìn thấy một con chim đẹp và muốn chụp ảnh nó, nhưng nó đã bay đi trong khi tôi đang cố lấy máy ảnh ra khỏi túi.",取り出そうとしたまま,取り出すようにしたまま,取り出そうとしているうちに,取り出すようにしているうちに,,,x,,,,～うちに Trong khi ~,
43,妹「ねえ、ベランダに干しておいた私の丁シャツがないんだけど、知らない?」<br/>姉「そうなの？今日、風強かったから、飛ばされて外に（ ）？」,"Chị: Này, em không có áo phơi ngoài ban công, chị biết không? <br/> Chị: ""Thế à? Hôm nay gió to quá nên chắc bị thổi bay ra ngoài phải không?""",落ちちゃったんだって,落ちちゃったんじゃない,落としちゃったんだって,落としちゃったんじゃない,,x,,,"( Lạc ) おち: rơi <br/> 『ちゃった』Đây là cách nói ngắn gọn của Vてしまう , diễn tả ý nghĩa : Đã hoàn thành xong một việc gì đó ; đang làm giở một việc gì đó ; lỡ, tiếc nuối về sự ...",,,
44,情報化や国際化が進む現代において、学校の教育がこれまでと（ ）。コンピュータな どの新しい教育内容が取り入れられるのも当然の流れだと思う。,"情報化や国際化が進む現代において、学校の教育がこれまでと同じでいいはずがない。コンピュータな どの新しい教育内容が取り入れられるのも当然の流れだと思う。<br/> Trong thế giới thông tin và toàn cầu hóa ngày nay, giáo dục phổ thông không thể giống như trước đây. Tôi nghĩ rằng nội dung giáo dục mới như máy tính sẽ được giới thiệu là điều đương nhiên.",同じでいいはずがない,同じというだけではない,同じならいいに違いない,同じにならないことはない,x,,,,～ はずがない／はずはない：Làm gì có chuyện…/ Chắc chắn là không có chuyện…/ Làm sao mà…/ Lẽ nào…,,,
45,良い ___ ★ ___ ___ 増加は期待できない。,良い商品やサービスであってもその良さが客に伝わなければ売り上げの増加は期待できない。Ngay cả những sản phẩm và dịch vụ tốt cũng không thể tăng doanh thu nếu những điều tốt đẹp đó không được truyền đạt tới khách hàng.,その良さが,客に伝わらなければ,売り上げの,商品やサービスであっても,x,,,,,,,
46,先輩の家にはオルガンがある。5年前に ___ ★ ___ ___ だと言っていた。,"先輩の家にはオルガンがある。5年前に海外に引っ越した友達からもらったものでもらったときに一度弾いたきりだと言っていた。Nhà tiền bối của tôi có đàn organ. Nó được một người bạn chuyển ra nước ngoài tặng cho tôi cách đây 5 năm, và anh ấy nói rằng anh ấy chỉ chơi nó một lần khi nhận được nó.",もらったときに,一度弾いたきり,海外に引っ越した,友達からもらったもので,,,,x,,,,
47,雑誌が ___ ★ ___ ___ 人との出会いだとインタビューに答えていたのを見て、本当にそうだなと思った。,"雑誌が何かで誰かが自分にとって人生で一番大切なのは人との出会いだとインタビューに答えていたのを見て、本当にそうだなと思った。Tạp chí là gì và khi ai đó nói trong một cuộc phỏng vấn rằng gặp gỡ mọi người là điều quan trọng nhất trong cuộc đời của họ, tôi đã nghĩ điều đó là đúng.",自分にとって,何かで,人生で一番大切なのは,誰かが,,,,x,,,,
48,なかなか ___ ___ ★ ___ 行けることになった。,なかなか予約が取れなくて行けなかったレストランにようやく行けることになった。<br/>　Cuối cùng tôi đã có thể đến một nhà hàng mà tôi đã không thể đến vì tôi không thể đặt trước.,ようやく,行けなかった,レストランに,予約がとれなくて,,,x,,cuối cùng thì...,,,
49,なぜときどき駅ですれ違う ___ ___ ★ ___ 自分でもよくわ からない。,なぜときどき駅ですれ違うだけの彼女のことがこんなに気になるのか、自分でもよくわからない.<br/>Tôi thậm chí không biết tại sao tôi lại lo lắng cho cô gái người mà tôi chỉ thỉnh thoảng đi lướt ngang qua ở nhà ga.,だけの,こんなに気になる,のか,彼女のことが,,x,,,,"気になる：Băn khoăn, lo lắng, suy nghĩ mãi về vấn đề gì đó, quan tâm, để ý",,
