stt,noidung,dich,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4,
11,ゲームのしすぎは目に（ ）影響を与える。,Chơi game nhiều quá sẽ mang lại ảnh hưởng xấu cho mắt.,悪,重,高,大,x,,,,(Ác) あくえいきょう：ảnh hưởng xấu,(Trọng) ちょう,,,
12,彼はアメリカ（ ）のビジネスで成功した。,彼はアメリカ流のビジネスで成功した。（Anh ấy đã thành công trong lĩnh vực kinh doanh ở Mỹ.),形,質,性,流,,,,x,"形（Hình）かたち：hình dáng, kiểu","質（Chất）しつ：chất lượng, phẩm chất","性（Tính）せい：Giới tính, tính",,"流（Lưu）りゅう：dòng, phong cách, nét văn hóa..."
13,別れ（ ）に、彼女は私に何か言ったが、聞こえなかった。,"別れ際に、彼女は私に何か言ったが、聞こえなかった。(Khi chúng tôi chia tay, cô ấy đã nói điều gì đó với tôi mà tôi không nghe thấy.)
",刻,際,間,期,,x,,,刻 ( Khắc ) 刻　：vết xước,際（ Tế ）さい：dịp này; lần này,"間（Gian）あいだ：Giữa, khoảng thời gian","期（ Kì）き：Kì, thời gian",
14,予算もスタッフも希望通りにしたんだから成果を期待しているよ と、上司に（ ）をかけられた。,"予算もスタッフも希望通りにしたんだから成果を期待しているよ と、上司にプレッシャーをかけられた。（Tôi bị gây sức ép từ cấp trên ,tôi đã làm theo những gì mong muốn cả về ngân sách và nhân viên, vì vậy tôi đang mong đợi kết quả .",ショップ,プレッシャー,ダメージ,コンプレックス,,x,,,ショップ（shop）：Cửa hiệu,プレッシャー: Áp lực.,"ダメージ：phá hoại, sự phá hủy",コンプレックス : mặc cảm; tự ti,
15,アルバイトの仕事は勤務が多い月と少ない月があって、毎月の収 入が（ ）だ。,"アルバイトの仕事は勤務が多い月と少ない月があって、毎月の収 入が不安定だ。
Công việc làm thêm có tháng nhiều, tháng ít, thu nhập hàng tháng không ổn định.",不安定,不自由,不都合,不公平,x,,,,不安定（Bất-An-Định) ふあんてい： Không ổn định,不自由（Bất-Tự-Do）ふじゆう：Không tự do,不都合 (Bất-Đô-Hợp) ふつごう：Không thích hợp,不公平 ( Bất- Công-Bình ) ふこうへい：Không công bằng.,
16,彼は（ ）な返事をしていたから、パーティーに来るかどうかわ からない。,彼はあいまいなな返事をしていたから、パーティーに来るかどうかわ からない。（Tôi không biết liệu anh ấy có đến bữa tiệc hay không vì anh ấy đã trả lời không rỏ ràng.）,地味な,かすかな,あいまいな,鈍感な,,,x,,地味 (Địa Vị) ちみ：Sự giản d; mộc mạc,"微か（ Vi ) かすか　：nhỏ bé, thấp thoáng",曖昧な( Ái-Muội) あいまいな：Sự mập mờ; không rỏ ràng; khó hiểu,鈍感 ( Độn- Cảm)　どんかん：Ngu xuẩn,
17,新しいことがなかなか覚えられないのは記憶力が（ ）からだろ うか。,新しいことがなかなか覚えられないのは記憶力がおとろえたからだろうか。Tôi tự hỏi có phải lý do tại sao tôi không thể nhớ những điều mới một cách dễ dàng là do trí nhớ của tôi đã kém đi.,傷んだ,散った,かれた,おとろえた,,,,x,傷 ( Thương ) きず： vết xước.,"散る ( Tán ) ちる：tàn, héo tàn *　散らす：bay tơi tả",枯れた( Khô) かれた：khô héo.,衰え ( Suy ) おとろえ： sự suy yếu; suy nhược;suy giảm,
18,相手が弱いと思って（ ）したら、負けてしまった。,"相手が弱いと思って油断したら、負けてしまった。Tôi đã mất cảnh giác vì nghĩ rằng đối thủ của tôi yếu, và tôi đã thua.",納得,油断,失望,覚悟,,x,,,"納得 ( Nạp - Đắc ) なっとく：sự lí giải, sự đồng ý.","油断 ( Du- Đoạn ) ゆだん： sự ẩu thả, lơ đễnh.",失望 ( Thất-Vọng) しつぼう：Thất vọng.,覚悟 ( Giác- Ngộ ) かくご：Sự quyết tâm; sẵn sàng.,
19,二人とも働いているので、家事や育児は夫婦で（ ）している。,"二人とも働いているので、家事や育児は夫婦で分担している。Vì cả hai chúng tôi đều đi làm, nên cả hai vợ chồng tôi đều đàm nhiệm việc nhà và chăm sóc con cái.",分別,区?,区分,分担,,,,x,"分別 ( Phân- Biệt ) ぶんべつ : Sự phân biệt, phân tách.",区　( Khu ) く : khu; khu vực,区分　（Khu - Phân ) くぶん : Phân chia; sắp xếp,分担　( Phân - Đam ) ぶんたん : sự gánh vác ; trách nhiệm,
20,次の社長に最も（ ）人は、経験豊富な鈴木さんでしょう。,"次の社長に最もふさわしい人は、経験豊富な鈴木さんでしょう。Người phù hợp nhất cho vị trí tổng giám đốc tiếp theo sẽ là ông Suzuki, người có nhiều kinh nghiệm.",ふさわしい,等しい,ありがちな,当たり前な,x,,,,相応しい　( Tương- Ứng )　ふさわしい: thích hợp; tương ứng；đúng như.,等しい　( Đẳng )　ひとしい : Bằng nhau; tương tự,"ありがちな(人)：(người) thường, phổ thông, bình thường.","当たり前な ( Đương- Tiền )　あたりまえな: Dĩ nhiên, Đương nhiên",
21,この辺リも(物騒になってきた)気がする。,"tôi cảm thấy khu vực này cũng dần đang trở thành loạn lạc( nguy hiểm). * 物騒 ( Vật- Tao ) ぶっそう：loạn lạc, nguy hiểm, cảm giác không an toàn.",きれいじゃなく なってきた,うるさくなってきた,安全じゃなくなったてき,さびしくなってきた,,,x,,không sạch đẹp,"trở nên ồn ào, khó chịu",không an toàn,trở nên buồn tẻ,
22,その話を聞いて(落ち込んだ)。,"Tôi cảm thấy suy sụp sau khi nghe chuyện này. * 落ち込んだ　(LẠc) おちこんだ：Buồn bã, suy sụp, chán nản",緊張した,びっくりした,がっ かりした,心配した,,,x,,"緊張する (Khẩn Trương) きんちょう： hồi hộp, căng thẳng",びっくりした：bị bất ngờ ( hoảng hồn) ;ngạc nhiên.,"がっかりした：hụt hẫn, chán nản, thất vọng",心配した ( Tâm Phối ) しんぱい： lo lắng,
23,(精いっぱい)やったのに、あまり評価されなかった。,"Tôi đã làm hết sức mình, nhưng nó không mấy được công nhận.",せっ かく,一生懸命,いろいろ,何回も,,x,,,"mất công, cất công ~ làm gì",Cố gắng hết sức,"nhiều, đa dang",nhiều lần,
24,その話を聞いて、みんな(同情した)。,"Sau khi nghe câu chuyện đó, mọi người đều đã thông cảm.",しかたないと思った,うらやましいと思った,なつかしいと思った,かわいそうだと思った,,,,x,"hết cách, bó tay, hết kiên nhẫn",ghen tị; thèm muốn,懐かしい( Hoài)　なつかしい : Nhớ tiếc,"tội nghiệp, thông cảm, đáng thương",
25,条件を(定める)必要がある。,Cần phải xác định các điều kiện. *定める ( Định ) さだめる：xác định,決める,伝える,調べる,合わせる,x,,,,決める ( Quyết ) きめる：Quyết định,"伝える ( Truyền ) つたえる：Truyền đạt, nhắn","調べる (Điều) しらべる：Điều tra, nghiên cứu","合わせる ( Hợp) あわせる： làm phù hợp, điều chỉnh",
26,廃止,"( Phế Chỉ )　はいし: Hủy bỏ, đình chỉ ( 制度；サービス）",予想以上のコストがかかることがわかり、新製品の開発を廃止した。,石川さんは毎日ジョ キンクすることを廃止したらしい。,ほかの人に話すことで、不安を廃止できることもある。,あの銀行はATM手数料無料のサービスを廃止するそうだ。,,,,x,,,,Hình như ngân hàng kia sẽ bãi bỏ dịch vụ miễn phí ATM.,
27,初歩,(Sơ Bộ) しょほ: Sơ bộ;sơ cấp,3年前に英語を初歩から始め、今では自由に話せるようになった。,パスケットボールの試合 で、初歩から大量の点を取られた。,今日の暑さはまだほんの初歩で、これからますます暑くなっていくだろう。,兄とのけんかの初歩は、くだらないことだっ た。,x,,,,"Tôi bắt đầu học tiếng Anh sơ cấp từ ba năm trước, và bây giờ tôi có thể nói một cách thoải mái.",,,,
28,だらしない,"Bừa bộn, lôi thôi",昨日作ったスープは塩がたりなかったのか、とてもだらしない味だ った。,この公園 は管理する人がいないので、あちこちに草だらしなく生えている。,知識がだらしなかったせいで、間違ったことを人に教えてしまっ た。,先月までは、仕事も しないで遊んでばかりのだらしない生活をしていた。,,,,x,,,,"Cho đến tháng trước, tôi đã sống một cuộc sống luộm thuộm không làm gì khác ngoài việc chơi bời.",
29,即座に,( Tức Tọa )　そくざ: Ngay lập tức * Ứng xử ngay lập tức,私が駅に着くと即座に友人たちも来た。,さっきまで晴れていたのに、即座に雲が出てき た。,先生は学生からの質 問に即座に答えた。,一月 になってから即座に仕事が忙しくなった。,,,x,,,,Cô giáo đã kịp thời giải đáp những thắc mắc của học viên.,,
30,尽きる,"( Tẫn )　つきる: cạn sức, cạn kiệt, kết thúc, cực điểm",あしたで定期券の期限が尽きるので、新しいのを買いに行った。,森さんと会うのは久し ぶりだったので、いくら話しても話が尽きなかった。,木村選手は、けがのせいで連続出場の記録が尽きてしまった。,この作家の絵が好きなので、展示会が尽 きないうちにもう一度見に来たい,,x,,,,Lâu lắm rồi mới gặp lại Mori nên nói mãi vẫn không hết chuyện,,,
31,テレビの後ろ側は、すぐほこり（）になってしまう。,Mặt sau của TV thì nhanh chóng bị bám bụi.,きり,じゅう,ぐらい,だらけ,,,,x,霧　( Vụ) きり: sương mù; phủ sương mù,,"ぐらい： Đến (khoảng) mức độ, (gần như) đủ rằng,","「だらけ」はよくないものがいっぱいある。=> Có nhiều thứ xấu, không tốt như là toàn bụi rác trong phòng, toàn lỗi sai chẳng hạn",
32,"A「ねえ、明日、有事があるって言ってたけど、パーティーには 来られそう?」 
- B「有事が何時に終わるかわからないんだよ。行ける（ ）、多分、途中からになると思う","A: Này, vào ngày mai cậu nói là có việc bận, thế nhưng cậu có thể đến bữa tiệc không? - B: Tôi không biết khi nào thì xong việc. nhưng nếu đi được thì tôi nghĩ chắc là vào lúc giữa chừng.",からって,ものなら,どころか,としても,,x,,,,ものなら：Nếu có thể thì muốn làm gì đó,所か　( Sở) どころか: Chẳng những...mà còn; Khoang nói tới.,としても：Dù gì; giả sử là đi chăng nữa,
33,X社は、新しい事業を始める（ ）、現在、社員を募集している。,Công ty X hiện đang tuyển nhân viên để bắt dự án mới.,とすると,にあたって,からには,のだったら,,x,,,,,,,
34,私はピアノを弾くことが、好き（ ）好き（ ）たまらない。,Tôi rất yêu thích chơi piano.,が/が,に/に,で/で,は/は,,,x,,,,て～て...Ơi...là quá,,
35,"（電話で）田中「ねえ、明日のイベントの準備、終わった? 小川 「まだ終わってないけど、まあ、大丈夫だよ。」
田中「（ ）小川さんの楽観的な性格がうらやましいよ。」","(Điện thoại) Tanaka: Này, bạn đã chuẩn bị xong cho sự kiện ngày mai chưa? 
Ogawa: ""Vẫn chưa kết thúc, nhưng không sao."" 
Tanaka: Tôi ghen tị với tính cách lạc quan của Ogawa.",そんなに,あんなに,そういう,ああいう,,,,x,,,,,
36,日曜日に行われたマラソン大会に弟が参加して、10キロのコース を45分で（ ）。,Em trai tôi tham gia cuộc thi marathon được tổ chức vào Chủ nhật và chạy cự ly 10km trong 45 phút.,走りきった,走り始めた,走ってばかりだ,走るようにする,x,,,,"走りきる：Chạy xong, hoàn thành",,,,
37,子供のころ、海水浴に行く前の日はいつも「どうか明日は雨が（ ）」ながら寝ていた。,"Khi tôi còn nhỏ, trước ngày đi biển tôi lúc nào cũng nói: ""Mong là ngày mai trời không mưa."" lúc ngủ.",降ることはありません,降りませんように,降らなくてもいい,降らないでしょうか,,x,,,,"Động từ thể ます＋ように: Mong là, ước là",,,
38,鈴木選手は、アマチュア時代に何度かこの大会に出場しているが 、プロの選手（ ）今回が初めての出場だ。,"Suzuki đã tham gia giải đấu này vài lần với tư cách là một tay nghiệp dư, nhưng đây là lần đầu tiên anh xuất hiện với tư cách là một tuyển thủ chuyên nghiệp.",としては,としても,にとっては,にとっても,x,,,,としては：Với tư cách là..,,,,
39,泣くのを我慢（ ）、逆に涙はあふれ出した。,"Càng cố kìm nước mắt, nước mắt càng trào ra.",しようとする ことから,しそうになることから,しようとすればするほど,しそうになればなるほど,,,x,,,,Ⅴすればするほど：Càng..càng...,,
40,押し入れを片付けていたら、子供のことに大切にしていたぬいぐ るみが出てきた。（ ）と思ったが、どうしても捨てられなかった。,"Khi tôi đang thu dọn tủ quần áo, tôi tìm thấy một con thú nhồi bông mà tôi đã nâng niu khi còn nhỏ. Tôi đã nghĩ đến việc vứt bỏ nó, nhưng tôi không thể. ＊縫いぐるみ：（Phùng) thú nhồi bông.",捨ててくるだろう,捨てている のだ,捨ててあるのか,捨ててしまおうか,,,,x,,,,"Vてしまいました、Vてしまう：có hai nghĩa. có nghĩa là lỡ, mất( thể hiện việc nuối tiếc, không hề muốn ở quá khứ); nhưng cũng có nghĩa là cho xong, cho rồi(thể hiện một hành động sắp hoàn thành trong tương lai gần và cũng mang ý nghĩa nuối tiếc).しまおう",
41,"田中 「昨日、息子がひろしくんに（ ）、ありがとうございます 。」
ひろしの母「いえいえ。","Tanaka: ""Tôi nghe nói rằng con trai tôi đã chơi với Hiroshi ngày hôm qua. Cảm ơn bạn."" Mẹ của Hiroshi: ""Không, không có gì"".",遊んでもらえそうで,遊んでくれそうで,遊んでもらったそうで,遊んでくれたそうで,,,x,,,,[Danh từ 1 (người nhận)] は/が [Danh từ 2 (người cho)] に + ～てもらいます。,,
42,この映画を見て、私は今までこれほど何かに夢中に（ ）と考え させられた。,Bộ phim này khiến tôi tự hỏi liệu mình đã từng bị ám ảnh bởi điều gì đó chưa.,なることがあるだろうか,なったことがあっただろうか,することがあるだろうか,したことがあっ ただろうか,,x,,,,,,,
43,料理の面白いところは、安い材料でも ___ ___ ★ ___ がで きるところです。,"料理の面白いところは、安い材料でも工夫次第で豪華なごちそうができるところです。 
Điều thú vị của nấu ăn là ngay cả với những nguyên liệu rẻ tiền, bạn có thể làm một bữa tiệc sang trọng tùy thuộc vào sự khéo léo của bạn.",ごちそう,工夫,豪華な,次第で,,,x,,,,,,
44,"田 中「昨日は、息子の高校の入学式だったんですよ。」
山田「田中さんの ___ ___ ★ ___ ですか。早いですね。」","田 中「昨日は、息子の高校の入学式だったんですよ。」 山田「田中さんの 息子さんももう高校生ですか。早いですね。」
Tanaka: Hôm qua là lễ nhập học cấp 3 của con trai tôi Yamada: Con trai của Tanaka chắc đã là học sinh cấp 3 rồi nhỉ?, nhanh thật ha.",もう,息子さん,高校生,も,,,x,,,,,も...か：Chắc cỡ,
45,世界各国の国会議員選挙における投票率を世代ごとに見ると、若 い世代の ___ ___ ★ ___ ことがわかる。,"世界各国の国会議員選挙における投票率を世代ごとに見ると、若 い世代の 投票率は我が国に限らず相当的に低い傾向があることがわかる。Nhìn vào tỷ lệ cử tri đi bầu trong các cuộc bầu cử quốc hội trên thế giới theo từng thế hệ, chúng ta có thể thấy rằng tỷ lệ cử tri đi bỏ phiếu của thế hệ trẻ có xu hướng thấp đáng kể, không chỉ ở Nhật Bản.",我が国に限らず,傾向がある,投票率は,相当的に低い,,,,x,,,,"投票率 ( Đầu - Phiếu- Suất )とうひょうりつ: tỉ lệ bỏ phiếu, tỉ lệ bầu cử",
46,5歳の娘は、私と同じ警察官になりたいと誇っている。本当に将 来 ___ ___ ★ ___ 感激した。,"5歳の娘は、私と同じ警察官になりたいと誇っている。本当に将 来 なるかというかは別としてそんなことを言ってくれたんことに感激した。Con gái năm tuổi của tôi tự hào muốn trở thành một cảnh sát giống như tôi. Mặc kệ điều này có thực sự xảy ra trong tương lai hay không, tôi vô cùng xúc động khi con gái đã nói như vậy. *誇る ( Khoa) ほこる: Tự hào,kiêu hãnh.",別として,そんなことを,言ってくれたんことに,なるかとうかは,,,x,,,,,,
47,試合に負けて本当は ★ ___ ___ ___ 表情だったのは、「つ らいときこそ明るく」というのが監督の方針だからだそうだ。,"試合に負けて本当は 悔しいはずのなぜか選手たちが明るい 表情だったのは、「つ らいときこそ明るく」というのが監督の方針だからだそうだ。
Đáng ra phải thất vọng trong trận đấu thua, nhưng các tuyển thủ lại trông vui vẻ là bởi vì chính sách của huấn luyện viên là ""vui vẻ khi mọi thứ khó khăn.""",悔しいはずの,明るい,なぜか,選手たちが,,x,,,悔しい ( Hối )　くやしい: Hối tiếc,,,,
