stt,noidung,dịch,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4
31,演説,( Diễn Thuyết ) えんぜつ: sự diễn thuyết; sự thuyết trình,卒業生体表の森さんは卒業式での演説で、先生方への感謝の気持ちを述べた。,首相は昨日の国会での演説で、経済対策を最優先するとの決意を述べた…,決勝進出が決まった中島選手は試合後の演説で、必ず優勝すると述べた。,A社の社長は記者会見の演説で、今後の事業方針について述べた。,,x,,,,"Trong bài phát biểu tại Quốc hội ngày hôm qua, Thủ tướng cho biết ông quyết tâm dành ưu tiên hàng đầu cho các biện pháp kinh tế.",,
32,きっぱり,dứt khoát; thẳng thừng; dứt khoát,眼鏡をかけると、遠くのものもきっぱり見えるようになる。,このラーメンはもう何度も食べたので、きっぱり飽きてしまった。,鈴木さんは石川さんからのデートの誘いをきっぱり断った。,昔のことはなかなかきっぱり思い出せない,,,x,,,,Suzuki thẳng thừng từ chối lời mời hẹn hò từ Ishikawa.,
33,昨日泊まったホテルの部屋は、シングルルーム（ ）広かった。,昨日泊まったホテルの部屋は、シングルルームにしては広かった。Phòng khách sạn tôi ở hôm qua rộng rãi cho một phòng đơn.,ばかりか,をとわず,にしては,かというと,,,x,,Duy chỉ,問わず ( Vấn ) : Không kể; bất kể,"～ にしては：Tuy...nhưng / Tuy...vậy mà...Diễn tả việc gì đó khác với suy nghĩ, tưởng tượng. Vế trước にしては cho bạn 1 hình dung nào đó về.",Đúng hơn là – Nói đúng hơn là
34,「店の前で」客「すみません、開店はまだですか。」- 店員「（ ）開店いたしますので、もう少々お待ちください。」,"「店の前で」客「すみません、開店はまだですか。」- 店員「まもなく開店いたしますので、もう少々お待ちください。」""Trước cửa hàng"" -Khách hàng: ""Xin lỗi, cửa hàng mở cửa chưa?"" - Nhân viên bán hàng : ""Cửa hàng sẽ mở cửa sớm, vì vậy xin vui lòng chờ một chút nữa.""",いまにも,まもなく,ほとんど,いつのまに,,x,,,bất kỳ lúc nào; sớm; ngay,Sắp; chốc lát,Hầu như,Trước khi tôi biết điều đó
35,北山には、初心者でも楽しめるハイキングコースや上級者（ ）コースなど、いくつかの登山コースがあります。,"北山には、初心者でも楽しめるハイキングコースや上級者向けのコースなど、いくつかの登山コースがあります。Kitayama có một số đường mòn leo núi , bao gồm như đường leo cho người mới bắt đầu và đường leo dành cho người leo núi nâng cao.",ほどの,向けの,きりの,どおりの,,x,,,( Trình ) ほど: bằng; mức độ,"( Hướng ) むけ: dành cho; thích hợp với (đối tượng, địa điểm)",Giới hạn; ranh giới,( Thông ) どおり: theo như...
36,昨日、高熱が出たので病院に行った（ ）、インフルエンザと診断された。,"昨日、高熱が出たので病院に行ったところ、インフルエンザと診断された。Hôm qua, tôi bị sốt cao nên đến bệnh viện khám và được chẩn đoán là bị cúm.",場合,以上,ことに,ところ,,,,x,,,,～ たところ：Khi làm gì xong thì kết quả là …
37,散歩が大好きなうちの犬が、今日は散歩に（ ）。具合でも悪いのだろうか。,"散歩が大好きなうちの犬が、今日は散歩に行きたがらなかった。具合でも悪いのだろうか。Con chó của tôi rất thích đi dạo, nhưng hôm nay lại không muốn đi dạo nữa. Chắc có phải là do tình trạng sức khỏe xấu không nhỉ.",行きたがらなかった,いかなければよっかた,いってほしくなかった,行きたくなかった,x,,,,たがらない: Ai đó không muốn ～.,Phải chi - Giá mà - Lẽ ra nên,Thể hiện ý muốn ai đó làm gì,Muốn – Ước gì – Cố (làm gì đó)
38,市長は、記者会見で「高速道路建設に反対してる市民も少なくないのだから、市長として、そのことを無視して建設経過を（ ）。」と述べた。,"市長は、記者会見で「高速道路建設に反対している市民も少なくないのだから、市長として、そのことを無視して建設計畫を進めるわけにはいかない。」と述べた。Tại một cuộc họp báo, thị trưởng nói: `` Vì có nhiều công dân phản đối việc xây dựng đường cao tốc, với tư cách là thị trưởng, tôi không thể phớt lờ đi và tiếp tục kế hoạch xây dựng. ''",進めそうにない,進めても構わない,進めずにはいられない,進めるわけにはいかない,,,,x,"Thường dùng trong trường hợp muốn nói là một việc gì đó khó xảy ra, cơ hội làm được việc đó rất là thấp. Không nghĩ là…",～てもかまわない：...Cũng không sao (Cho phép),～ ずに（は）いられない ... Ý nghĩa: “Không thể không/ không thể ngừng (nhịn) được … “.,"Không thể...Mẫu câu diễn tả cảm giác không thể làm gì vì điều đó là sai, là không hợp lí, là vô trách nhiệm"
39,「スピーチで」「本日は弊社創立５０周年記念パーティーにお越しくださりありがとうございます。社長の小林でございます。社を体表して，私から一言ごあいさつ（ ）。」,"「本日は弊社創立５０周年記念パーティーにお越しくださり、ありがとうございます。社長の小林でございます。社を代表して、私から一言ごあいさつおっしゃいます。」""Cảm ơn bạn đã đến tham dự bữa tiệc kỷ niệm 50 năm thành lập công ty của chúng tôi ngày hôm nay. Tôi là Kobayashi, với tư cách là chủ tịch ,tôi xin được nói vài lời.""",されます,うかがります,申し上げます,おっしゃいます,,,,x,,hỏi,,( Ngưỡng ) Nói: (kính ngữ của 言う)
40,そのバッグは，どこにでもあるような物なのに、人気歌手が愛用してる（ ）、万個も売れたそうだ。,"そのバッグは，どこにでもあるような物なのに、人気歌手が愛用してるというだけで、万個も売れたそうだ。Chiếc túi là thứ có thể tìm thấy ở bất cứ đâu, nhưng người ta nói rằng 10.000 chiếc đã được bán ra chỉ vì nó được một ca sĩ nổi tiếng yêu thích.",とすること,というだけ,とすることを,というだけで,,,,x,,,,Chỉ vì ... mà
41,ホテルのフロント係として働き始めたころは、「どんなに忙しくてもお客様には疲れた顔を（ ）。」と先輩によく注意された。,"ホテルのフロント係として働き始めたころは、「どんなに忙しくてもお客様には疲れた顔を見せないように。」と先輩によく注意された。Khi tôi bắt đầu làm nhân viên lễ tân ở một khách sạn, các đàn anh của tôi thường nhắc nhở tôi rằng: “Dù bận đến đâu cũng đừng tỏ ra mệt mỏi với khách hàng”.",見せないために,見えないこと,見せないように,見えないもの,,,x,,,,ないように：Để không 〜; đừng để,
42,母「たかし、寝る前に必ず明日の準備を（ ）。朝、慌てて準備すると絶対忘れ物するから。」,"母「たかし、寝る前に必ず明日の準備をしておきなさいよ。朝、慌てて準備すると絶対忘れ物するから。」Mẹ: “Takashi, nhớ chuẩn bị cho ngày mai trước khi con đi ngủ. Chứ để vội vàng chuẩn bị vào sáng mai, chắc chắn sẽ đồ.",たかし「大丈夫、もう終わってるよ」,してあんだよ,しておきなさいよ,してあるんじゃないの,,,x,,,,ておく: Sẵn; Làm gì đó trước để chuẩn bị cho việc gì ...,
43,x社に入社すると、新入社員は、まず電話の応対の練習を週間（ ）。,"x社に入社すると、新入社員は、まず電話の応対の練習を週間させられるそうだ。Sau khi gia nhập công ty x, nhân viên mới được dành một tuần để thực hành cách trả lời điện thoại.",させられるそうだ,させるつもりだ,させられたままだ,させているところだ,x,,,,～ そうだ：Nghe nói.../ Theo...Thì..,Vるつもりだ: Dự định làm gì,～ まま：Vẫn - Cứ để nguyên như thế,"Vるところ + Trợ từ: Chuẩn bị, sắp làm V"
44,田中「次回の勉強会のテーマは何にしましょうか。」- 山下「私は消費者心理に興味があります。」 -石川「それも面白そうですが、私はアンケートの分析方法を（ ）。」,"田中「次回の勉強会のテーマは何にしましょうか。」- 山下「私は消費者心理に興味があります。」 -石川「それも面白そうですが、私はアンケートの分析方法を取り上げててみはどうかと思います。」Tanaka “Chủ đề của phần nghiên cứu tiếp theo nên là gì?” - Yamashita “Tôi quan tâm đến tâm lý người tiêu dùng.“-Ishikawa ""Nghe có vẻ thú vị, nhưng tôi nghĩ sẽ rất tốt nếu áp dụng phương pháp phân tích bảng câu hỏi.""",取り上げようとするでしょうか,取り上げるようになるでしょうか,取り上げたいのだろうと思います,取り上げてみてはどうかと思います,,,,x,,,,
45,どんなスポーツでも、日々の練習が ___ ★ ___ ___ 行うと時間をかけてもなかなか上達しない。,"どんなスポーツでも、日々の練習がもちろんだが欠かさないのは間違った方法で上達に行うと時間をかけてもなかなか上達しない。Trong bất kỳ môn thể thao nào, việc luyện tập hàng ngày tất nhiên là quan trọng, nhưng nếu bạn tập sai cách, bạn sẽ không thể tiến bộ ngay cả khi bạn dành thời gian cho nó.",もちろんだが,欠かせないのは,上達に,間違った方法で,,x,,,,,,
46,姉は歌手の赤川ケイノ大ファンで、彼女の ___ ___ ★ ___ 知りたいと言ってる。,"姉は歌手の赤川ケイノ大ファンで、彼女のことならどんなにちいさなことでも知りたいと言ってる。Em gái tôi là một fan hâm mộ lớn của ca sĩ Keino Akagawa, và em ấy muốn biết ngay cả những điều nhỏ nhất về cô ấy.",ことなら,ちいさな,ことでも,どんなに,,x,,,,,,
47,明日の夕方が締め切りのレポートがまだ終わっていない。明日は一日中授業があって時間がとれないので、今晩 ___ ___ ★ ___ いけない。,"明日の夕方が締め切りのレポートがまだ終わっていない。明日は一日中授業があって時間がとれないので、今晩でも徹夜して終わらせてしまわないといけない。Tôi vẫn chưa hoàn thành bản báo cáo vào tối mai. Tôi có lớp học cả ngày mai và sẽ không có thời gian, vì vậy tôi phải thức cả đêm để hoàn thành nó vào tối nay.",終わらせて,徹夜して,しまわないと,でも,x,,,,,( Triệt Dạ ) てつや: sự thức trắng cả đêm; đêm không ngủ,"てしまう：Trong một số trường hợp, tùy vào hoàn cảnh thì động từ ý thức vẫn mang ý nghĩa tiếc nuối, hối hận",
48,田中さんは ___ ___ ★ ___ 冬はいつもミカンを大量に買うそうだ。,"田中さんは一度食べだすと止まらないほどみかんが好きらしく、冬はいつもミカンを大量に買うそうだ。 Tanaka có vẻ rất thích ăn quả quýt đến nỗi mỗi khi ăn là không thể ngừng được, anh ấy luôn mua chúng với số lượng lớn vào mùa đông.",食べだすと,一度,みかんが好きらしく,止まらないほど,,,,,,,,
49,私は、中学生になったころから ___ ___ ★ ___ 医者になろうと決めていた。,"私は、中学生になったころから次第に医学に興味を持ち始め高校に入った時には将来医者になろうと決めていた。Khi bước vào cấp 2, tôi dần yêu thích ngành y, và khi bước vào cấp 3, tôi quyết định trở thành một bác sĩ trong tương lai.",将来,医学に興味を持ち始め,高校に入った時には,次第に,,,x,,,,( Thứ Đệ ) しだい: dần dần; từ từ; từng bước một .,
